CIE10_X,CIE10,DESCRIPCION CIE
W887,W887,EXPOSICION A RADIACION IONIZANTE
W888,W888,EXPOSICION A RADIACION IONIZANTE
W889,W889,EXPOSICION A RADIACION IONIZANTE
W890,W890,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W891,W891,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W892,W892,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W893,W893,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W894,W894,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W895,W895,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W896,W896,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W897,W897,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W898,W898,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W899,W899,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA
W900,W900,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W901,W901,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W902,W902,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W903,W903,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W904,W904,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W905,W905,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W906,W906,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W907,W907,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W908,W908,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W909,W909,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W910,W910,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W911,W911,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W912,W912,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W913,W913,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W914,W914,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W915,W915,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W916,W916,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W917,W917,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W918,W918,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W919,W919,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W920,W920,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W921,W921,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W922,W922,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W923,W923,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W924,W924,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W925,W925,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W926,W926,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W927,W927,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W928,W928,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W929,W929,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W930,W930,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W931,W931,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W932,W932,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W933,W933,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W934,W934,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W935,W935,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W936,W936,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W937,W937,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W938,W938,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W939,W939,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W940,W940,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W941,W941,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W942,W942,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W943,W943,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W944,W944,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W945,W945,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W946,W946,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W947,W947,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W948,W948,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W949,W949,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W990,W990,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W991,W991,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W992,W992,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W993,W993,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W994,W994,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W995,W995,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W996,W996,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W997,W997,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W998,W998,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
W999,W999,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS
X000,X000,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X001,X001,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X002,X002,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X003,X003,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X004,X004,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X005,X005,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X006,X006,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X007,X007,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X008,X008,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X009,X009,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X010,X010,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X011,X011,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X012,X012,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X013,X013,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X014,X014,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X015,X015,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X016,X016,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X017,X017,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X018,X018,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X019,X019,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X020,X020,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X021,X021,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X022,X022,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X023,X023,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X024,X024,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X025,X025,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X026,X026,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X027,X027,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X028,X028,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X029,X029,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X030,X030,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X031,X031,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X032,X032,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X033,X033,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X034,X034,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X035,X035,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X036,X036,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X037,X037,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X038,X038,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X039,X039,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X040,X040,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X041,X041,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X042,X042,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X043,X043,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X044,X044,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X045,X045,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X046,X046,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X047,X047,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X048,X048,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X049,X049,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X050,X050,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X051,X051,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X052,X052,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X053,X053,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X054,X054,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X055,X055,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X056,X056,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X057,X057,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X058,X058,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X059,X059,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X060,X060,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X061,X061,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X062,X062,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X063,X063,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X064,X064,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X065,X065,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X066,X066,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X067,X067,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X068,X068,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X069,X069,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X080,X080,EXPOSICION A OTROS HUMOS
X081,X081,EXPOSICION A OTROS HUMOS
X082,X082,EXPOSICION A OTROS HUMOS
X083,X083,EXPOSICION A OTROS HUMOS
X084,X084,EXPOSICION A OTROS HUMOS
X085,X085,EXPOSICION A OTROS HUMOS
X086,X086,EXPOSICION A OTROS HUMOS
X087,X087,EXPOSICION A OTROS HUMOS
X088,X088,EXPOSICION A OTROS HUMOS
X089,X089,EXPOSICION A OTROS HUMOS
X090,X090,EXPOSICION A HUMOS
X091,X091,EXPOSICION A HUMOS
X092,X092,EXPOSICION A HUMOS
X093,X093,EXPOSICION A HUMOS
X094,X094,EXPOSICION A HUMOS
X095,X095,EXPOSICION A HUMOS
X096,X096,EXPOSICION A HUMOS
X097,X097,EXPOSICION A HUMOS
X098,X098,EXPOSICION A HUMOS
X099,X099,EXPOSICION A HUMOS
X100,X100,CONTACTO CON BEBIDAS
X101,X101,CONTACTO CON BEBIDAS
X102,X102,CONTACTO CON BEBIDAS
X103,X103,CONTACTO CON BEBIDAS
X104,X104,CONTACTO CON BEBIDAS
X105,X105,CONTACTO CON BEBIDAS
X106,X106,CONTACTO CON BEBIDAS
X107,X107,CONTACTO CON BEBIDAS
X108,X108,CONTACTO CON BEBIDAS
X109,X109,CONTACTO CON BEBIDAS
X110,X110,CONTACTO CON AGUA CALIENTE CORRIENTE
X111,X111,CONTACTO CON AGUA CALIENTE CORRIENTE
X112,X112,CONTACTO CON AGUA CALIENTE CORRIENTE
X113,X113,CONTACTO CON AGUA CALIENTE CORRIENTE
X114,X114,CONTACTO CON AGUA CALIENTE CORRIENTE
X115,X115,CONTACTO CON AGUA CALIENTE CORRIENTE
X116,X116,CONTACTO CON AGUA CALIENTE CORRIENTE
X117,X117,CONTACTO CON AGUA CALIENTE CORRIENTE
X118,X118,CONTACTO CON AGUA CALIENTE CORRIENTE
X119,X119,CONTACTO CON AGUA CALIENTE CORRIENTE
X120,X120,CONTACTO CON OTROS LIQUIDOS CALIENTES
X121,X121,CONTACTO CON OTROS LIQUIDOS CALIENTES
X122,X122,CONTACTO CON OTROS LIQUIDOS CALIENTES
X123,X123,CONTACTO CON OTROS LIQUIDOS CALIENTES
X124,X124,CONTACTO CON OTROS LIQUIDOS CALIENTES
X125,X125,CONTACTO CON OTROS LIQUIDOS CALIENTES
X126,X126,CONTACTO CON OTROS LIQUIDOS CALIENTES
X127,X127,CONTACTO CON OTROS LIQUIDOS CALIENTES
X128,X128,CONTACTO CON OTROS LIQUIDOS CALIENTES
X129,X129,CONTACTO CON OTROS LIQUIDOS CALIENTES
X130,X130,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X131,X131,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X132,X132,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X133,X133,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X134,X134,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X135,X135,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X136,X136,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X137,X137,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X138,X138,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X139,X139,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X140,X140,CONTACTO CON AIRE Y GASES CALIENTES
X141,X141,CONTACTO CON AIRE Y GASES CALIENTES
X142,X142,CONTACTO CON AIRE Y GASES CALIENTES
X143,X143,CONTACTO CON AIRE Y GASES CALIENTES
X144,X144,CONTACTO CON AIRE Y GASES CALIENTES
X145,X145,CONTACTO CON AIRE Y GASES CALIENTES
X146,X146,CONTACTO CON AIRE Y GASES CALIENTES
X147,X147,CONTACTO CON AIRE Y GASES CALIENTES
X148,X148,CONTACTO CON AIRE Y GASES CALIENTES
X149,X149,CONTACTO CON AIRE Y GASES CALIENTES
X150,X150,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X151,X151,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X152,X152,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X153,X153,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X154,X154,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X155,X155,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X156,X156,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X157,X157,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X158,X158,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X159,X159,CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X160,X160,CONTACTO CON RADIADORES
X161,X161,CONTACTO CON RADIADORES
X162,X162,CONTACTO CON RADIADORES
X163,X163,CONTACTO CON RADIADORES
X164,X164,CONTACTO CON RADIADORES
X165,X165,CONTACTO CON RADIADORES
X166,X166,CONTACTO CON RADIADORES
X167,X167,CONTACTO CON RADIADORES
X168,X168,CONTACTO CON RADIADORES
X169,X169,CONTACTO CON RADIADORES
X170,X170,CONTACTO CON MAQUINAS
X171,X171,CONTACTO CON MAQUINAS
X172,X172,CONTACTO CON MAQUINAS
X173,X173,CONTACTO CON MAQUINAS
X174,X174,CONTACTO CON MAQUINAS
X175,X175,CONTACTO CON MAQUINAS
X176,X176,CONTACTO CON MAQUINAS
X177,X177,CONTACTO CON MAQUINAS
X178,X178,CONTACTO CON MAQUINAS
X179,X179,CONTACTO CON MAQUINAS
X180,X180,CONTACTO CON OTROS METALES CALIENTES
X181,X181,CONTACTO CON OTROS METALES CALIENTES
X182,X182,CONTACTO CON OTROS METALES CALIENTES
X183,X183,CONTACTO CON OTROS METALES CALIENTES
X184,X184,CONTACTO CON OTROS METALES CALIENTES
X185,X185,CONTACTO CON OTROS METALES CALIENTES
X186,X186,CONTACTO CON OTROS METALES CALIENTES
X187,X187,CONTACTO CON OTROS METALES CALIENTES
X188,X188,CONTACTO CON OTROS METALES CALIENTES
X189,X189,CONTACTO CON OTROS METALES CALIENTES
X190,X190,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X191,X191,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X192,X192,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X193,X193,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X194,X194,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X195,X195,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X196,X196,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X197,X197,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X198,X198,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X199,X199,CONTACTO CON OTRAS SUSTANCIAS CALIENTES
X200,X200,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X201,X201,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X202,X202,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X203,X203,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X204,X204,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X205,X205,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X206,X206,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X207,X207,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X208,X208,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X209,X209,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X210,X210,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X211,X211,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X212,X212,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X213,X213,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X214,X214,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X215,X215,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X216,X216,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X217,X217,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X218,X218,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X219,X219,CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X220,X220,CONTACTO TRAUMATICO CON ESCORPION
X221,X221,CONTACTO TRAUMATICO CON ESCORPION
X222,X222,CONTACTO TRAUMATICO CON ESCORPION
X223,X223,CONTACTO TRAUMATICO CON ESCORPION
X224,X224,CONTACTO TRAUMATICO CON ESCORPION
X225,X225,CONTACTO TRAUMATICO CON ESCORPION
X226,X226,CONTACTO TRAUMATICO CON ESCORPION
X227,X227,CONTACTO TRAUMATICO CON ESCORPION
X228,X228,CONTACTO TRAUMATICO CON ESCORPION
X229,X229,CONTACTO TRAUMATICO CON ESCORPION
X230,X230,CONTACTO TRAUMATICO CON AVISPONES
X231,X231,CONTACTO TRAUMATICO CON AVISPONES
X232,X232,CONTACTO TRAUMATICO CON AVISPONES
X233,X233,CONTACTO TRAUMATICO CON AVISPONES
X234,X234,CONTACTO TRAUMATICO CON AVISPONES
X235,X235,CONTACTO TRAUMATICO CON AVISPONES
X236,X236,CONTACTO TRAUMATICO CON AVISPONES
X237,X237,CONTACTO TRAUMATICO CON AVISPONES
X238,X238,CONTACTO TRAUMATICO CON AVISPONES
X239,X239,CONTACTO TRAUMATICO CON AVISPONES
X240,X240,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X241,X241,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X242,X242,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X243,X243,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X244,X244,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X245,X245,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X246,X246,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X247,X247,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X248,X248,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X249,X249,CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS (TROPICALES)
X250,X250,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X251,X251,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X252,X252,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X253,X253,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X254,X254,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X255,X255,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X256,X256,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X257,X257,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X258,X258,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X259,X259,CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS
X260,X260,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X261,X261,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X262,X262,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X263,X263,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X264,X264,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X265,X265,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X266,X266,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X267,X267,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X268,X268,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X269,X269,CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X270,X270,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X271,X271,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X272,X272,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X273,X273,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X274,X274,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X275,X275,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X276,X276,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X277,X277,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X278,X278,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X279,X279,CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X280,X280,CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
X281,X281,CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
X282,X282,CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
X283,X283,CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
X284,X284,CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
